ID,Text,Comment
Knatte.CategoryPipeU.Description,曲がり部分で地下に埋める必要があるパイプ,-
Knatte.CategoryHideWE.DisplayName,未使用の水拡張,-
Knatte.Pipe1X.DisplayName,パイプ出口,-
Knatte.Pipe1X.Description,"二つの堤防と入力および出力パイプがあります。堤防は電力を供給する必要がありますが、転送としても機能します。
出力パイプの上に堤防を六角形で配置しないでください！クラッシュします！",-
Knatte.PowerLevee.DisplayName,パワードリーブ,-
Knatte.PowerLevee.Description,ポンプを動かすためのシャフトを備えた堤防。水平および垂直の両方。,-
Knatte.DeepSeaPump.DisplayName,深海水ポンプ,-
Knatte.DeepSeaPump.Description,海底ポンプ,-
Knatte.DeepSeaPump.FlavorDescription,一口の新鮮な水であなたは元気が出ます。,-
Knatte.UPowerLevee.DisplayName,ユニバーサルパワードスリーブ,-
Knatte.UPowerLevee.Description,ポンプを動かすためのシャフトがある堤防。すべての側面に接続されています。,-
Knatte.PipeH1X.DisplayName,パイプ出入口 (H),-
Knatte.PipeH1X.Description,ハイボリュームポンプ、2つの堤防、および入力と出力のパイプ。堤防は電力を供給する必要がありますが、同時に移送としても機能します。,-
Knatte.LargeWaterWheelLevee.DisplayName,大きな水車と堤防,-
Knatte.LargeWaterWheelLevee.Description,水車と傾斜のある堤防があり、水がチャンネル内に留まり、溢れないように助ける。,-
Knatte.PipeHU5X.DisplayName,地下のパイプ 5本 (H),-
Knatte.PipeHU10X.DisplayName,地下のパイプ 10 長さ (H),-
Knatte.PipeHU15X.DisplayName,地下パイプ15長（H）,-
Knatte.PipeHU.Description,高出力バージョンで、パイプの両側にレヴがあり、入力パイプと出力パイプがあります。レヴの間に地下にパイプが通っています。レヴには電力が供給される必要がありますが、転送機能も果たします。出力パイプの上のヘックスにはレヴを配置しないでください！クラッシュします！,-
Knatte.Valve1X.DisplayName,ワンウェイバルブ,-
Knatte.Valve1X.Description,"中間に堤防のあるワンウェイバルブ  
電源不要で移送しません  
最大フロー1.5cm",-
Knatte.ValveH1X.DisplayName,ワンウェイバルブ (H),-
Knatte.ValveH1X.Description,"中間に堤防がある高容量ワンウェイバルブ  
電源不要で、移転もしません",-
Knatte.Aqueduct_S_1X.DisplayName,水道橋,-
Knatte.Aqueduct_S_5X.DisplayName,水道橋 5 ロング,-
Knatte.Aqueduct_S.Description,片側に壁のある水路。底部で水を止める役割も果たします。,-
Knatte.Aqueduct_S.FlavorDescription,記入することが必要です,-
Knatte.Aqueduct_P_1X.DisplayName,アクエダクト 1x1,-
Knatte.Aqueduct_P_5X.DisplayName,アクエダクト 1x5 ロング,-
Knatte.Aqueduct_P.Description,両側に壁がある水道橋。また、底で水を止めます。,-
Knatte.Aqueduct_P.FlavorDescription,記入する必要があります。,-
Knatte.Aqueduct_Corner.DisplayName,アクエダクトコーナー,-
Knatte.Aqueduct_Corner.Description,壁が両側にある水路で、角を作ります。また、底で水が止まります。,-
Knatte.Aqueduct_Corner.FlavorDescription,水は左に行った,-
Knatte.Aqueduct_Lid_1X.DisplayName,水路のふた,-
Knatte.Aqueduct_Lid_5X.DisplayName,水路蓋 5 長,-
Knatte.Aqueduct_Lid.Description,水が逃げるのを防ぐふたを追加します。,-
Knatte.Aqueduct_Lid.FlavorDescription,まだパイプですか？,-
Knatte.Aqueduct_Wall.DisplayName,アクエダクト壁ダミー,-
Knatte.Aqueduct_Wall.Description,水をブロックしないが、内側のコーナーに美的効果のためにそれがブロックしているという幻想を助けるかもしれない。,-
Knatte.Aqueduct_Wall.FlavorDescription,記入すること。,-
Knatte.Aqueduct_Floor_1X1.DisplayName,水道の床,-
Knatte.Aqueduct_Floor_1X5.DisplayName,アクエダクト フロア 1x5,-
Knatte.Aqueduct_Floor_2X2.DisplayName,アクエダクト フロア 2x2,-
Knatte.Aqueduct_Floor_3X3.DisplayName,水路フロア 3x3,-
Knatte.Aqueduct_Floor_5X5.DisplayName,水道橋 フロア 5x5,-
Knatte.Aqueduct_Floor.Description,アクエダクトテーマの防水フロア,-
Knatte.Aqueduct_Floor.FlavorDescription,君は通れない,-
Knatte.Aqueduct_Sluice.DisplayName,水道閘門,-
Knatte.Aqueduct_Sluice.Description,一方向の自動水排出装置。アクエダクトのテーマで、下に支えがあればアクエダクトに設置可能です。,-
Knatte.Aqueduct_Corner_Int.DisplayName,水道内コーナー,-
Knatte.Aqueduct_Corner_Int.Description,角を作るために両側に壁がある水路。また、底で水を止めます。,-
Knatte.Aqueduct_Corner_Int.FlavorDescription,水が左に行く,-
Knatte.Aqueduct_P_1X_Corner_Int.DisplayName,水路 1x1 内隅,-
Knatte.Aqueduct_P_1X_Corner_Int.Description,三方に壁がある水道橋を角を作るために。下で水を止めることもできます。,-
Knatte.Aqueduct_P_1X_Corner_Int.FlavorDescription,水は左に行く,-
Knatte.Aqueduct_Wall2.DisplayName,水道壁,-
Knatte.Aqueduct_Wall2.Description,このブロックと同じブロックへの水の侵入を防ぐことができ、水中の道を作るのに使用できます。,-
Knatte.Aqueduct_Wall2.FlavorDescription,記入してください,-
Knatte.TurbineSmall.DisplayName,小型タービン,-
Knatte.TurbineSmall.Description,シャフトと同じ方向に電力を生成する小型タービン,-
Knatte.TurbineSmall.FlavorDescription,99CentさんとYmerzeruさんにインスピレーションをありがとう。,-
Knatte.Aqueduct_Wall3.DisplayName,"オフセット 
水道橋の壁",-
Knatte.Aqueduct_Wall3.Description,水が壁と同じブロックに入るのを防ぐ,-
Knatte.Aqueduct_Wall4.DisplayName,"ダブルオフセット  
水路壁",-
Knatte.Aqueduct_Wall4.Description,水が壁と同じブロックに入るのを防いでください。,-
Knatte.Aqueduct_Wall_OffDec.DisplayName,"オフセット 
水道橋 壁 ダミー",-
Knatte.Aqueduct_Wall_OffDec2.DisplayName,"オフセットダブル
アクエダクトウォールダミー",-
