ID,Text,Comment
IgorZ.Automation.Tool.tmpl.6LevelsDynamite.DisplayName,Explode dynamite 6 times,-
IgorZ.Automation.Tool.tmpl.BadtideCloseFloodgate.Description,Apply this template to floodgates that need to close when the bad tide begins.,-
IgorZ.Automation.Tool.tmpl.BadtideCloseFloodgate.DisplayName,Close floodgate at the start of the bad tide.,-
IgorZ.Automation.Tool.tmpl.BadtideOpenFloodgate.Description,Apply this template to floodgates that need to open when a bad tide begins.,-
IgorZ.Automation.Tool.tmpl.BadtideOpenFloodgate.DisplayName,Open the floodgate when bad tide starts.,-
IgorZ.Automation.Tool.tmpl.BadtidePause.Description,Apply this template to buildings that should remain paused during low tides.,-
IgorZ.Automation.Tool.tmpl.BadtidePause.DisplayName,Pause during low tide,-
IgorZ.Automation.Tool.tmpl.BeaversAtMax.Description,Apply this template to buildings that should operate as long as there are unoccupied beds.,-
IgorZ.Automation.Tool.tmpl.BeaversAtMax.DisplayName,Run until the beaver population is at its maximum.,-
IgorZ.Automation.Tool.tmpl.BeaversAtMinus10.Description,Apply this template to buildings that should remain paused until the beaver population decreases to 10 beavers below the current level.,-
IgorZ.Automation.Tool.tmpl.BeaversAtMinus10.DisplayName,Beaver population -10,-
IgorZ.Automation.Tool.tmpl.BeaversAtMinus20.Description,Apply this template to buildings that should remain paused until the beaver population decreases by 20 beavers below the current level.,-
IgorZ.Automation.Tool.tmpl.BeaversAtMinus20.DisplayName,Beaver population -20,-
IgorZ.Automation.Tool.tmpl.BeaversAtPlus10.Description,Apply this template to buildings that should continue to operate until the beaver population exceeds the current level by 10 beavers.,-
IgorZ.Automation.Tool.tmpl.BeaversAtPlus10.DisplayName,Beaver population +10,-
IgorZ.Automation.Tool.tmpl.BeaversAtPlus20.Description,Apply this template to buildings that should operate until the beaver population increases by 20 beavers above the current level.,-
IgorZ.Automation.Tool.tmpl.BeaversAtPlus20.DisplayName,Beaver population +20,-
IgorZ.Automation.Tool.tmpl.BotsAtMinus10.Description,Apply this template to buildings that must remain halted until the beaver population decreases by 10 below the current level.,-
IgorZ.Automation.Tool.tmpl.BotsAtMinus10.DisplayName,Bot population -10,-
IgorZ.Automation.Tool.tmpl.BotsAtMinus20.Description,Apply this template to buildings that must remain on hold until the beaver population decreases by 20 beavers below the current level.,-
IgorZ.Automation.Tool.tmpl.BotsAtMinus20.DisplayName,Bot population -20,-
IgorZ.Automation.Tool.tmpl.BotsAtPlus10.Description,Apply this template to buildings that should continue operating until the bot population exceeds the current level by 10 bots.,-
IgorZ.Automation.Tool.tmpl.BotsAtPlus10.DisplayName,Bot population +10,-
IgorZ.Automation.Tool.tmpl.BotsAtPlus20.Description,Apply this template to buildings that should continue operating until the bot population exceeds the current level by 20 bots.,-
IgorZ.Automation.Tool.tmpl.BotsAtPlus20.DisplayName,Bot population +20,-
IgorZ.Automation.Tool.tmpl.ChainedBuildings.Description,"Apply this template to construction sites that may obstruct builders' paths. Note: Results are not guaranteed, particularly if the buildings are not at the same level.",-
IgorZ.Automation.Tool.tmpl.ChainedBuildings.DisplayName,Don't block builders,-
IgorZ.Automation.Tool.tmpl.DroughtCloseFloodgate.Description,Apply this template to floodgates that should close when a drought begins.,-
IgorZ.Automation.Tool.tmpl.DroughtCloseFloodgate.DisplayName,Close the floodgate when the drought begins.,-
IgorZ.Automation.Tool.tmpl.DroughtOpenFloodgate.Description,Apply this template to floodgates that should open when a drought begins.,-
IgorZ.Automation.Tool.tmpl.DroughtOpenFloodgate.DisplayName,Open floodgate at the start of the drought.,-
IgorZ.Automation.Tool.tmpl.DroughtOpenFlowControl.Description,Apply this template to water flow control buildings (like Badwater Dome or Sluice) to keep them open during droughts.,-
IgorZ.Automation.Tool.tmpl.DroughtOpenFlowControl.DisplayName,Open water flow control during drought,-
IgorZ.Automation.Tool.tmpl.DroughtPause.Description,Apply this template to buildings that should remain on hold during droughts.,-
IgorZ.Automation.Tool.tmpl.DroughtPause.DisplayName,Pause during drought,-
IgorZ.Automation.Tool.tmpl.DynamiteNow.Description,Automatically detonates the dynamite when the construction is complete. This template can also be applied to completed dynamite.,-
IgorZ.Automation.Tool.tmpl.DynamiteNow.DisplayName,Explode the dynamite now.,-
IgorZ.Automation.Tool.tmpl.EmitSelectedGood.Description,Apply this template to buildings that should emit a signal indicating the selected quantity of goods in storage. The signal can be used as conditions for other buildings.,-
IgorZ.Automation.Tool.tmpl.EmitSelectedGood.DisplayName,Emit the selected good signal.,-
IgorZ.Automation.Tool.tmpl.EmptyAt50pct.DisplayName,Empty the storage if the capacity is above 50%.,-
IgorZ.Automation.Tool.tmpl.EmptyAt60pct.DisplayName,Empty the storage if the capacity is above 60%.,-
IgorZ.Automation.Tool.tmpl.EmptyAt70pct.DisplayName,Empty the storage if the capacity is above 70%.,-
IgorZ.Automation.Tool.tmpl.EmptyAt80pct.DisplayName,Empty the storage if the capacity is above 80%.,-
IgorZ.Automation.Tool.tmpl.EmptyAt90pct.DisplayName,Empty the storage if the capacity is above 90%.,-
IgorZ.Automation.Tool.tmpl.EmptyAtXpct.Description,"This template can be applied to buildings that produce goods and have no input stock. If the <i>output</i> stock level exceeds the predetermined threshold, the building will transition into an 'empty' mode, facilitating rapid removal of goods.",-
IgorZ.Automation.Tool.tmpl.FloodgateGroup.Description,Apply this template to floodgates to synchronize their height control.,-
IgorZ.Automation.Tool.tmpl.FloodgateGroup.DisplayName,Floodgate group,-
IgorZ.Automation.Tool.tmpl.PauseConstruction.Description,Apply this template to construction sites that should be paused once the construction progress reaches 100%.,-
IgorZ.Automation.Tool.tmpl.PauseConstruction.DisplayName,Pause construction,-
IgorZ.Automation.Tool.tmpl.PrioritizeByHaulers.Description,Apply this template to buildings that should be prioritized by haulers once construction is complete.,-
IgorZ.Automation.Tool.tmpl.PrioritizeByHaulers.DisplayName,Prioritize by carriers,-
IgorZ.Automation.Tool.tmpl.StreamGauge.Description,Apply this template to stream gauges that should emit a signal of the current water condition. The signals can be used in conditions on the other buildings.,-
IgorZ.Automation.Tool.tmpl.StreamGauge.DisplayName,Stream gauge signal,-
IgorZ.Automation.Tool.tmpl.TemperateCloseFloodgate.Description,Apply this template to floodgates that need to close when the temperate season begins.,-
IgorZ.Automation.Tool.tmpl.TemperateCloseFloodgate.DisplayName,Close floodgate on the start of temperate weather.,-
IgorZ.Automation.Tool.tmpl.TemperateOpenFloodgate.Description,Apply this template to floodgates that need to open when the temperate season begins.,-
IgorZ.Automation.Tool.tmpl.TemperateOpenFloodgate.DisplayName,Open floodgate when temperate weather begins.,-
IgorZ.Automation.Tool.tmpl.TemperatePause.Description,Apply this template to buildings that should remain inactive during temperate weather.,-
IgorZ.Automation.Tool.tmpl.TemperatePause.DisplayName,Pause during mild weather,-
IgorZ.Automation.Tool.tmpl.TemperateSemiOpenFloodgate.Description,Apply this template to floodgates that should open by 0.5m of their maximum height when the temperate season starts.,-
IgorZ.Automation.Tool.tmpl.TemperateSemiOpenFloodgate.DisplayName,Slightly open floodgate during mild weather.,-
IgorZ.Automation.Tool.tmpl.XLevelsDynamite.Description,"This template can be applied to dynamites, whether they are finished or still being built. Upon completion, the dynamite will detonate automatically, and a new dynamite blueprint will be placed to dig deeper.",-
IgorZ.Automation.ToolGroup.Main.DisplayName,Set up automation,-
IgorZ.Automation.ToolGroup.Population.DisplayName,Population-related rules,-
IgorZ.Automation.ToolGroup.Power.DisplayName,Power-related rules,-
IgorZ.Automation.ToolGroup.Signals.DisplayName,Signals related rules,-
IgorZ.Automation.ToolGroup.Storage.DisplayName,Storage-related rules,-
IgorZ.Automation.ToolGroup.Terrain.DisplayName,Terrain changing rules,-
IgorZ.Automation.ToolGroup.Water.DisplayName,Weather-related rules,-
=,=,-
IgorZ.Automation.AutomationFragment.AddRulesBtn,Add automation rules.,-
IgorZ.Automation.AutomationFragment.CopyRulesBtn,Copy rules,-
IgorZ.Automation.AutomationFragment.EditRulesBtn,Edit rules,-
IgorZ.Automation.AutomationFragment.RuleTextLocKey,"If {0}  
Then {1}",-
IgorZ.Automation.AutomationFragment.RulesAreaCaptionTextLocKey,Automation rules:,-
IgorZ.Automation.Tool.CopyRules.Text,Copy {0} rules,-
IgorZ.Automation.Tool.CopyRules.Title,Copy automation rules,-
IgorZ.Automation.Scriptable.Constructable.Signal.Progress,construction progress,-
IgorZ.Automation.Scriptable.Constructable.Signal.State,construction state,-
IgorZ.Automation.Scriptable.Constructable.Signal.State.Finished,Finished,-
IgorZ.Automation.Scriptable.Debug.Action.LogNum,write a number to logs: {0},-
IgorZ.Automation.Scriptable.Debug.Action.LogStr,write a string to logs: {0},-
IgorZ.Automation.Scriptable.District.Signal.Beavers,beavers in district,-
IgorZ.Automation.Scriptable.District.Signal.Bots,bots in district,-
IgorZ.Automation.Scriptable.District.Signal.NumberOfBeds,beds in district,-
IgorZ.Automation.Scriptable.Dynamite.Action.Detonate,detonate dynamite,-
IgorZ.Automation.Scriptable.Dynamite.Action.DetonateAndRepeat,detonate dynamite and add another <GreenHighlight>{0} times</GreenHighlight>,-
IgorZ.Automation.Scriptable.Floodgate.Action.SetHeight,set gate height to {0},-
IgorZ.Automation.Scriptable.Floodgate.Signal.Height,floodgate height,-
IgorZ.Automation.Scriptable.FlowControl.Action.Close,disable flow,-
IgorZ.Automation.Scriptable.FlowControl.Action.Open,enable flow,-
IgorZ.Automation.Scriptable.Inventory.Action.EmptyingStatus,The storage is being emptied on a priority basis.,-
IgorZ.Automation.Scriptable.Inventory.Action.StartEmptyingStock,start emptying storage,-
IgorZ.Automation.Scriptable.Inventory.Action.StopEmptyingStock,stop emptying storage,-
IgorZ.Automation.Scriptable.Inventory.Signal.InputGood,{0},-
IgorZ.Automation.Scriptable.Inventory.Signal.OutputGood,{0},-
IgorZ.Automation.Scriptable.Pausable.Action.Pause,pause building,-
IgorZ.Automation.Scriptable.Pausable.Action.Resume,resume building,-
IgorZ.Automation.Scriptable.Prioritizable.Action.ResetHaulers,- prioritize by carriers,-
IgorZ.Automation.Scriptable.Prioritizable.Action.SetHaulers,+ prioritize by carriers,-
IgorZ.Automation.Scriptable.Signals.Action.Set,set signal: {0} = {1},-
IgorZ.Automation.Scriptable.Signals.Signal.Get,signal: {0},-
IgorZ.Automation.Scriptable.StreamGauge.Signal.Contamination,contamination,-
IgorZ.Automation.Scriptable.StreamGauge.Signal.Current,current,-
IgorZ.Automation.Scriptable.StreamGauge.Signal.Depth,depth,-
IgorZ.Automation.Scriptable.Weather.Signal.Season,season,-
IgorZ.Automation.Scriptable.Workplace.Action.RemoveWorkers,remove workers,-
IgorZ.Automation.Scriptable.Workplace.Action.SetWorkers,assign {0} workers,-
IgorZ.Automation.Scripting.Expressions.AndOperator,and,-
IgorZ.Automation.Scripting.Expressions.OrOperator,or,-
IgorZ.Automation.Scripting.Expressions.ParseError,PARSE ERROR,-
IgorZ.Automation.Scripting.Expressions.RuntimeError,RUNTIME ERROR,-
IgorZ.Automation.Scripting.Editor.ActionLabel,Then,-
IgorZ.Automation.Scripting.Editor.ActionMustBeAction,Action must be the 'act' operator,-
IgorZ.Automation.Scripting.Editor.AddRuleFromScriptBtn,Add script,-
IgorZ.Automation.Scripting.Editor.AddRuleViaConstructorBtn,Create rule through constructor,-
IgorZ.Automation.Scripting.Editor.ArgumentMaxValueHint,(max: {0}),-
IgorZ.Automation.Scripting.Editor.ConditionLabel,If,-
IgorZ.Automation.Scripting.Editor.ConditionMustBeBoolean,Condition must be a boolean expression.,-
IgorZ.Automation.Scripting.Editor.ConditionMustHaveSignals,Condition must contain at least one signal.,-
IgorZ.Automation.Scripting.Editor.DeletedRule,Rule removed,-
IgorZ.Automation.Scripting.Editor.DialogHeader,Automation rules,-
IgorZ.Automation.Scripting.Editor.DiscardChangesBtn,Discard changes,-
IgorZ.Automation.Scripting.Editor.DiscardScriptBtn,Discard,-
IgorZ.Automation.Scripting.Editor.EditAsScriptBtn,Script,-
IgorZ.Automation.Scripting.Editor.EditInConstructorBtn,Constructor,-
IgorZ.Automation.Scripting.Editor.ExportRulesBtn,Export rules,-
IgorZ.Automation.Scripting.Editor.ImportRulesBtn,Import rules,-
IgorZ.Automation.Scripting.Editor.MoreInfoBtn,Read about scripting,-
IgorZ.Automation.Scripting.Editor.NumberConstantType,number,-
IgorZ.Automation.Scripting.Editor.PendingEditsNotification,There are rules in the editing state. Complete them first.,-
IgorZ.Automation.Scripting.Editor.ReadMoreLink,"I'm sorry, but I can't access external websites. However, if you provide me with text from that link, I will be happy to help you translate it.",-
IgorZ.Automation.Scripting.Editor.ResetChangesBtn,Reset changes,-
IgorZ.Automation.Scripting.Editor.RulesWithErrorsNotification,Some rules have errors! Fix them first.,-
IgorZ.Automation.Scripting.Editor.SaveRulesBtn,Save and close,-
IgorZ.Automation.Scripting.Editor.SaveScriptBtn,Save,-
IgorZ.Automation.Scripting.Editor.StringConstantType,string,-
IgorZ.Automation.Scripting.Editor.TemplateFamilyLabel,Template group: {0},-
IgorZ.Automation.Scripting.Editor.TestScriptBtn,Test,-
IgorZ.Automation.Scripting.Editor.UnsavedChangesConfirmation,There are unsaved changes. Do you want to discard them?,-
IgorZ.Automation.Scripting.Editor.ExportDialogHeader,Export automation rules,-
IgorZ.Automation.Scripting.Editor.ImportDialogHeader,Import automation rules,-
IgorZ.Automation.Scripting.ImportDialog.AllowErrors,Import with errors,-
IgorZ.Automation.Scripting.ImportDialog.DeleteExistingRules,Delete existing rules,-
IgorZ.Automation.Scripting.ImportDialog.ReadMore,Read about imports.,-
IgorZ.Automation.Scripting.ImportDialog.ReadMoreUrl,"I'm unable to access external websites, including GitHub. However, if you provide the text you would like me to translate, I'm here to help!",-
IgorZ.Automation.Scripting.ImportDialog.SkipFailedRules,Skip failed rules,-
IgorZ.Automation.Scripting.ImportRules.ActionNotApplicableError,Action not applicable: {0},-
IgorZ.Automation.Scripting.ImportRules.ConditionNotApplicableError,Condition not applicable: {0},-
IgorZ.Automation.Scripting.ImportRules.ExpectedActionError,Expected action expression,-
IgorZ.Automation.Scripting.ImportRules.ExpectedConditionError,Expected condition expression,-
IgorZ.Automation.Scripting.ImportRules.ImportError,Error at line {0}: {1},-
IgorZ.Automation.Scripting.ImportRules.IncompleteDeclarationError,Incomplete rule declaration,-
IgorZ.Automation.Scripting.ImportRules.UnclosedMultiLineComment,Unclosed multi-line comment,-
IgorZ.Automation.Settings.Debug.PathCheckingProfiling,Log path checking engine statistics,-
IgorZ.Automation.Settings.Debug.LogSignalSetting,Log setting signal values,-
IgorZ.Automation.Settings.Debug.LogSignalPropagating,Log signal propagation,-
IgorZ.Automation.Settings.EntityPanel.AlwaysShowAddRulesButton,Always show 'Add rules' button,-
IgorZ.Automation.Settings.EntityPanel.Header,Controls on the building panel,-
IgorZ.Automation.Settings.EntityPanel.RulesDescriptionStyle,Style of the rule description,-
IgorZ.Automation.Settings.EntityPanel.RulesDescriptionStyle.HumanReadable,Please provide the text you would like me to translate.,-
IgorZ.Automation.Settings.EntityPanel.RulesDescriptionStyle.Script,Script,-
IgorZ.Automation.Settings.EntityPanel.RulesDescriptionStyle.ScriptShort,Pseudo-script,-
TimberDev_Utils.Settings.Debug.VerboseLogging,Verbose logging,-
TimberDev_Utils.Settings.Debug.VerboseLoggingTooltip,"Logs will have more useful details, but it may impact game performance.",-
TimberDev_Utils.Settings.DebugSection,Debugging and troubleshooting,-
TimberDev_Utils.Tools.LockSelectTool.DescriptionHint,Hold <i>SHIFT</i> to select items of one type only.,-
TimberDev_Utils.Tools.LockSelectTool.SelectingNObjects,Selecting: {0} (x{1}),-
TimberDev_Utils.Tools.LockSelectTool.SelectingObject,Selecting: {0},-
TimberDev_Utils.Tools.LockSelectTool.StartObjectSelectingPrompt,Click to start selecting: {0},-
TimberDev_Utils.Tools.LockSelectTool.StartSelectingPrompt,Point to an entity and click to start selecting.,-
